ID;Nombre;ID_Interno;ID_Visible
225247.1024;Derecho del Consumidor - 225247.1024 (Remoto);_1624383_1;DEPU.8003.225247.1024.R
225247.1023;Intelig emocional y liderazgo - 225247.1023 (Remoto);_1624390_1;RRHH.8112.225247.1023.R
225247.1005;Comunicación y mktg político - 225247.1005 (Remoto);_1624389_1;MARK.8113.225247.1005.R
225247.1004;GAM APL ESTRA EDUCACIÓN - 225247.1004 (Remoto);_1624388_1;MAGM.8135.225247.1004.R
225247.1022;ANÁLISIS DASHBOARDS - 225247.1022 (Remoto);_1624365_1;ITEC.8001.225247.1022.R
225247.1021;NUEVA LEY CONTRATACION - 225247.1021 (Remoto);_1624384_1;MAGM.8013.225247.1021.R
225247.1003;GESTIÓN ADUANERA COMEX - 225247.1003 (Remoto);_1624381_1;MAGM.8016.225247.1003.R
225247.1020;Derecho Lab. individual y SST - 225247.1020 (Remoto);_1624387_1;DEPU.8002.225247.1020.R
225247.1019;GESTIÓN DEPORTIVA - 225247.1019 (Remoto);_1624392_1;MARK.8005.225247.1019.R
225247.1002;Gst de Remuneraciones y Comp. - 225247.1002 (Remoto);_1624374_1;MAGM.8113.225247.1002.R
225247.1001;OPERACIONES MINERAS - 225247.1001 (Remoto);_1624385_1;OPER.8103.225247.1001.R
225682.1002;PORTUGUÉS INTERMEDIO B1-B2 - 225682.1002 (Remoto);_1624095_1;IDIO.7001.225682.1002.R
225643.1007;PORTUGUÉS INTERMEDIO B1 - 225643.1007 (Remoto);_1623881_1;IDIO.7000.225643.1007.R
225643.1006;PORTUGUÉS INTERMEDIO B1 - 225643.1006 (Remoto);_1623876_1;IDIO.7000.225643.1006.R
225643.1005;PORTUGUÉS INTERMEDIO B1 - 225643.1005 (Remoto);_1623880_1;IDIO.7000.225643.1005.R
225643.1004;PORTUGUÉS INTERMEDIO B1 - 225643.1004 (Remoto);_1623882_1;IDIO.7000.225643.1004.R
225643.1003;PORTUGUÉS INTERMEDIO B1 - 225643.1003 (Remoto);_1623971_1;IDIO.7000.225643.1003.R
225643.1002;PORTUGUÉS INTERMEDIO B1 - 225643.1002 (Remoto);_1623877_1;IDIO.7000.225643.1002.R
225639.1010;PORTUGUÉS INTERMEDIO B1 - 225639.1010 (Remoto);_1623480_1;IDIO.7000.225639.1010.R
225639.1009;PORTUGUÉS INTERMEDIO B1 - 225639.1009 (Remoto);_1623478_1;IDIO.7000.225639.1009.R
225639.1008;PORTUGUÉS INTERMEDIO B1 - 225639.1008 (Remoto);_1623482_1;IDIO.7000.225639.1008.R
225639.1007;PORTUGUÉS INTERMEDIO B1 - 225639.1007 (Remoto);_1623483_1;IDIO.7000.225639.1007.R
225639.1006;PORTUGUÉS INTERMEDIO B1 - 225639.1006 (Remoto);_1623474_1;IDIO.7000.225639.1006.R
225639.1005;PORTUGUÉS INTERMEDIO B1 - 225639.1005 (Remoto);_1623476_1;IDIO.7000.225639.1005.R
225639.1004;PORTUGUÉS INTERMEDIO B1 - 225639.1004 (Remoto);_1623477_1;IDIO.7000.225639.1004.R
225639.1003;PORTUGUÉS INTERMEDIO B1 - 225639.1003 (Remoto);_1623481_1;IDIO.7000.225639.1003.R
225639.1002;PORTUGUÉS INTERMEDIO B1 - 225639.1002 (Remoto);_1623479_1;IDIO.7000.225639.1002.R
225639.1001;PORTUGUÉS INTERMEDIO B1 - 225639.1001 (Remoto);_1623475_1;IDIO.7000.225639.1001.R
225629.1016;PORTUGUÉS INTERMEDIO B1 - 225629.1016 (Remoto);_1603822_1;IDIO.7000.225629.1016.R
225629.1014;PORTUGUÉS INTERMEDIO B1 - 225629.1014 (Remoto);_1603823_1;IDIO.7000.225629.1014.R
225629.1013;PORTUGUÉS INTERMEDIO B1 - 225629.1013 (Remoto);_1603966_1;IDIO.7000.225629.1013.R
225629.1012;PORTUGUÉS INTERMEDIO B1 - 225629.1012 (Remoto);_1603825_1;IDIO.7000.225629.1012.R
225629.1011;PORTUGUÉS INTERMEDIO B1 - 225629.1011 (Remoto);_1603821_1;IDIO.7000.225629.1011.R
225629.1010;PORTUGUÉS INTERMEDIO B1 - 225629.1010 (Remoto);_1603938_1;IDIO.7000.225629.1010.R
225629.1005;PORTUGUÉS INTERMEDIO B1 - 225629.1005 (Remoto);_1603820_1;IDIO.7000.225629.1005.R
225629.1002;PORTUGUÉS INTERMEDIO B1 - 225629.1002 (Remoto);_1603819_1;IDIO.7000.225629.1002.R
225629.1001;PORTUGUÉS INTERMEDIO B1 - 225629.1001 (Remoto);_1603824_1;IDIO.7000.225629.1001.R
